username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-12-16 21:19;166;558;"Coinbase offers support for the USDC stablecoin ($USDC), and Coinbase customers in supported jurisdictions can buy, sell, send, and receive USDC. On Day 7 of 12 Days of Coinbase, we are launching an educational resource. https://bit.ly/2C2KYUo";;;;"1074398646018367489";https://twitter.com/coinbase/status/1074398646018367489
;2018-12-15 21:06;39;235;"Our $10,000 gift in Bitcoin ($BTC) allows http://GiveCrypto.org to significantly expand on a model that has already allowed them and partner Sempo to support 15 Yazidi families in Kurdistan and 5 Syrian families in Beirut in 2018.";;;;"1074032997630791680";https://twitter.com/coinbase/status/1074032997630791680
;2018-12-15 21:06;177;921;"On Day 6 of 12 Days of Coinbase, we're donating $10,000 in $ BTC to @ GiveCrypto in support of Syrian refugees in Greece. Refugee communities often don't have access to financial institutions, and crypto offers the easiest way to give money to those in need https://bit.ly/2EdaAj1 pic.twitter.com/lyIJDQR5wT";;@;;"1074032994648608768";https://twitter.com/coinbase/status/1074032994648608768
;2018-12-14 23:59;133;602;"Our goal is to maintain the trusted experience our customers have come to expect while responding to our #1 customer request: adding assets. Here’s how we think about different Coinbase products serving the range of our customers' needs.https://bit.ly/2QtPAfb";;;#1;"1073714189888151553";https://twitter.com/coinbase/status/1073714189888151553
;2018-12-14 21:03;1164;3683;"Starting today, all Coinbase customers in the U.S. can instantly withdraw Coinbase cash balances to PayPal for no fee. It's Day 5 of 12 Days of Coinbase. Learn more here: https://bit.ly/2EdaAj1 pic.twitter.com/EFHn8LFPTs";;;;"1073669920787845120";https://twitter.com/coinbase/status/1073669920787845120
;2018-12-14 03:16;122;514;"Continuous learning is a core value at Coinbase; we regularly invite in big thinkers to share ideas. Today, @ mwseibel of @ ycombinator spoke to the importance of tuning out hype during cycles in tech: “There’s no use pontificating; let’s just build products people want to use.”pic.twitter.com/OwY3GgG4A1";;@ @;;"1073401322722942976";https://twitter.com/coinbase/status/1073401322722942976
;2018-12-13 21:01;115;460;"The crypto industry moves fast. It's hard to filter information on the many assets out there. On Day 4 of 12 Days of Coinbase, we're rolling out watchlists so Coinbase customers can customize their dashboards with assets of interest. Learn more: https://bit.ly/2EdaAj1 pic.twitter.com/HjsTCEv1oo";;;;"1073307030251696129";https://twitter.com/coinbase/status/1073307030251696129
;2018-12-13 19:48;77;294;"Hypergrowth at Coinbase has presented many opportunities to tackle new scaling challenges, including onboarding engineers in a quick and secure manner. Read more about the Single Sign On system we built to automate user privilege escalation via consensus.https://blog.coinbase.com/single-sign-on-via-consensus-7b3693d43a7c …";;;;"1073288579542077446";https://twitter.com/coinbase/status/1073288579542077446
;2018-12-12 21:22;21;142;"It's Day 3 of 12 Days of Coinbasehttps://bit.ly/2EdaAj1";;;;"1072949891159154688";https://twitter.com/coinbase/status/1072949891159154688
;2018-12-12 21:22;471;1303;"Our mission is to create an open financial system for the world. We believe this is the best way to bring about more economic freedom, innovation, and equality of opportunity. Today, we're sharing a video explaining how crypto will make this possible.https://youtu.be/IWeCQkIJNkY";;;;"1072949888629977088";https://twitter.com/coinbase/status/1072949888629977088
;2018-12-11 21:02;73;344;"This donation will put $1 USD worth of crypto directly into crypto wallets for 100+ families in Santa Elena de Uairen every day for 3 months. Recipients can purchase food and basic supplies at a local store that accepts payments in crypto.";;;;"1072582340973600769";https://twitter.com/coinbase/status/1072582340973600769
;2018-12-11 21:02;118;563;"On Day 2 of 12 Days of Coinbase, we want to highlight incredible work being done by @ GiveCrypto distributing crypto to families in need. In support, we're donating $10,000 in $ ZEC to their project in Venezuela. https://bit.ly/2EdaAj1 pic.twitter.com/yjCP5jHZKl";;@;;"1072582337920147457";https://twitter.com/coinbase/status/1072582337920147457
;2018-12-11 20:10;16;96;". @ dwr on adding new assets: “With a traditional stock exchange, they list everything above a certain quality bar. And ultimately investors and individuals make decisions on what to invest.”";;@;;"1072569396151943169";https://twitter.com/coinbase/status/1072569396151943169
;2018-12-11 20:10;20;119;"“Our recent shift in strategy is really driven by customers. When we asked customers the number one thing they want, they told us it’s adding new cryptocurrencies to the platform.”";;;;"1072569395354984448";https://twitter.com/coinbase/status/1072569395354984448
;2018-12-11 20:10;6;37;"“We think access to crypto globally is still largely an unsolved problem. In emerging markets, it’s still quite difficult for people to get their first bitcoin or crypto. We’re really focused on expanding the number of people and countries that have easy onramps to crypto."";;;;"1072569394616852480";https://twitter.com/coinbase/status/1072569394616852480
;2018-12-11 20:10;5;30;"“In order to have easy onramps into crypto, you still need strong partnerships with traditional financial institutions. We realize from a practical standpoint that’s how you actually get more people access to cryptocurrency.”";;;;"1072569393673068544";https://twitter.com/coinbase/status/1072569393673068544
;2018-12-11 20:10;29;167;"Check out @ dwr on trust in the crypto space, listening to customers, and how Coinbase approaches adding new assets. Listen to full @ laurashin Unchained podcast:https://bit.ly/2L8VIDA";;@ @;;"1072569392653836288";https://twitter.com/coinbase/status/1072569392653836288
;2018-12-10 21:08;363;1147;"Coinbase customers in the US can now spend crypto balances on @ WeGift e-gift cards—just in time for the holidays. It's Day 1 of 12 Days of Coinbase, a series of announcements we'll make each day until December 21st. Learn more here: https://bit.ly/2EdaAj1 pic.twitter.com/aJpxUEJACm";;@;;"1072221564806909953";https://twitter.com/coinbase/status/1072221564806909953
